"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"25/07/2022","17:59:44","5.365,5000","5.367,0000","5.364,0000","5.364,5000","5.364,5000","168,0000","-685,0000","-517,0000"
"25/07/2022","17:59:32","5.367,5000","5.367,5000","5.365,5000","5.365,5000","5.364,5000","128,0000","-439,0000","-311,0000"
"25/07/2022","17:59:32","5.365,5000","5.367,5000","5.365,5000","5.367,5000","5.364,5000","9,0000","0,0000","9,0000"
"25/07/2022","17:59:31","5.367,5000","5.367,5000","5.365,5000","5.365,5000","5.364,5000","10,0000","-5,0000","5,0000"
"25/07/2022","17:58:48","5.365,5000","5.367,5000","5.364,5000","5.367,5000","5.364,5000","564,0000","-1.807,0000","-1.243,0000"
"25/07/2022","17:56:46","5.367,5000","5.369,0000","5.365,5000","5.365,5000","5.364,5000","2.080,0000","-1.402,0000","678,0000"
"25/07/2022","17:55:43","5.369,5000","5.370,5000","5.367,5000","5.367,5000","5.364,5000","417,0000","-1.144,0000","-727,0000"
"25/07/2022","17:55:21","5.367,5000","5.369,5000","5.366,5000","5.369,5000","5.364,5000","550,0000","-789,0000","-239,0000"
"25/07/2022","17:55:11","5.369,5000","5.371,0000","5.367,5000","5.367,5000","5.364,5000","334,0000","-1.312,0000","-978,0000"
"25/07/2022","17:53:12","5.371,5000","5.372,0000","5.369,5000","5.369,5000","5.364,5000","1.473,0000","-2.768,0000","-1.295,0000"
"25/07/2022","17:51:39","5.369,5000","5.371,5000","5.368,0000","5.371,5000","5.364,5000","2.061,0000","-1.185,0000","876,0000"
"25/07/2022","17:51:26","5.371,5000","5.372,0000","5.369,5000","5.369,5000","5.364,5000","277,0000","-574,0000","-297,0000"
"25/07/2022","17:51:18","5.369,5000","5.371,5000","5.368,0000","5.371,5000","5.364,5000","804,0000","-71,0000","733,0000"
"25/07/2022","17:49:38","5.367,5000","5.369,5000","5.366,0000","5.369,5000","5.364,5000","2.307,0000","-2.611,0000","-304,0000"
"25/07/2022","17:49:24","5.365,5000","5.367,5000","5.365,5000","5.367,5000","5.364,5000","770,0000","-288,0000","482,0000"
"25/07/2022","17:48:33","5.367,5000","5.368,5000","5.365,5000","5.365,5000","5.364,5000","1.463,0000","-1.903,0000","-440,0000"
"25/07/2022","17:47:55","5.369,5000","5.370,0000","5.367,5000","5.367,5000","5.364,5000","2.681,0000","-3.335,0000","-654,0000"
"25/07/2022","17:46:32","5.371,5000","5.373,0000","5.369,5000","5.369,5000","5.364,5000","1.315,0000","-4.710,0000","-3.395,0000"
"25/07/2022","17:45:12","5.373,5000","5.374,0000","5.371,5000","5.371,5000","5.364,5000","2.466,0000","-4.344,0000","-1.878,0000"
"25/07/2022","17:44:07","5.375,5000","5.376,0000","5.373,5000","5.373,5000","5.364,5000","918,0000","-2.611,0000","-1.693,0000"
"25/07/2022","17:42:17","5.377,5000","5.378,0000","5.375,5000","5.375,5000","5.364,5000","935,0000","-2.526,0000","-1.591,0000"
"25/07/2022","17:34:49","5.379,5000","5.380,0000","5.377,5000","5.377,5000","5.364,5000","4.997,0000","-4.522,0000","475,0000"
"25/07/2022","17:30:05","5.377,5000","5.379,5000","5.376,0000","5.379,5000","5.364,5000","6.794,0000","-3.697,0000","3.097,0000"
"25/07/2022","17:29:29","5.375,5000","5.377,5000","5.374,5000","5.377,5000","5.364,5000","1.645,0000","-1.779,0000","-134,0000"
"25/07/2022","17:28:35","5.377,5000","5.378,0000","5.375,5000","5.375,5000","5.364,5000","1.134,0000","-3.637,0000","-2.503,0000"
"25/07/2022","17:27:44","5.379,5000","5.380,5000","5.377,5000","5.377,5000","5.364,5000","348,0000","-1.830,0000","-1.482,0000"
"25/07/2022","17:25:50","5.381,5000","5.382,0000","5.379,5000","5.379,5000","5.364,5000","1.036,0000","-1.220,0000","-184,0000"
"25/07/2022","17:24:37","5.379,5000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","1.270,0000","-689,0000","581,0000"
"25/07/2022","17:20:04","5.381,5000","5.382,5000","5.379,5000","5.379,5000","5.364,5000","4.278,0000","-4.466,0000","-188,0000"
"25/07/2022","17:19:32","5.379,5000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","820,0000","-618,0000","202,0000"
"25/07/2022","17:19:15","5.381,5000","5.381,5000","5.379,5000","5.379,5000","5.364,5000","466,0000","-813,0000","-347,0000"
"25/07/2022","17:18:44","5.379,5000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","3.593,0000","-967,0000","2.626,0000"
"25/07/2022","17:18:02","5.377,5000","5.379,5000","5.376,5000","5.379,5000","5.364,5000","1.537,0000","-1.535,0000","2,0000"
"25/07/2022","17:17:50","5.379,5000","5.379,5000","5.377,5000","5.377,5000","5.364,5000","831,0000","-1.253,0000","-422,0000"
"25/07/2022","17:16:57","5.377,5000","5.379,5000","5.377,0000","5.379,5000","5.364,5000","2.637,0000","-302,0000","2.335,0000"
"25/07/2022","17:05:34","5.375,5000","5.377,5000","5.374,5000","5.377,5000","5.364,5000","10.746,0000","-7.239,0000","3.507,0000"
"25/07/2022","17:03:44","5.373,5000","5.375,5000","5.372,0000","5.375,5000","5.364,5000","4.493,0000","-2.673,0000","1.820,0000"
"25/07/2022","17:03:33","5.371,5000","5.373,5000","5.370,0000","5.373,5000","5.364,5000","2.447,0000","-2.648,0000","-201,0000"
