Trades
"Papel","Abertura","Tempo","C/V","Prc Médio Cpa","Prc Médio Vda","Data","Qtd","Res. Tot. Líq.",
"WINQ22","09:02:33","7s","C","100.975","101.035","07/07/2022","1","11,58",
"WINQ22","09:04:02","8s","C","101.110","101.010","07/07/2022","1","-20,42",
"WINQ22","09:04:49","3s","V","101.020","101.030","07/07/2022","2","3,16",
"WINQ22","09:07:36","44s","V","101.055","101.115","07/07/2022","1","11,58",
"WINQ22","09:09:28","1m39s","V","101.070","100.970","07/07/2022","1","-20,42",
"WINQ22","09:11:23","1m","C","101.100","101.160","07/07/2022","1","11,58",
"WINQ22","09:15:21","4m45s","V","100.985","101.045","07/07/2022","1","11,58",
"WINQ22","09:24:02","6m7s","C","101.160","101.060","07/07/2022","1","-20,42",
"WINQ22","09:30:21","30s","V","100.985","101.040","07/07/2022","2","21,16",
"WINQ22","15:31:18","34s","V","102.550","102.605","07/07/2022","2","21,16",
"WINQ22","15:40:01","37s","V","102.375","102.415","07/07/2022","2","15,16",
"WINQ22","15:43:30","6m2s","V","102.415","102.305","07/07/2022","2","-44,84",
"WINQ22","15:50:13","2m16s","C","102.445","102.345","07/07/2022","6","-122,52",

