"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"13/07/2022","17:54:05","98.605,0000","98.670,0000","98.595,0000","98.670,0000","98.670,0000","1.824,0000","-1.351,0000","473,0000"
"13/07/2022","17:47:20","98.705,0000","98.755,0000","98.605,0000","98.605,0000","98.670,0000","22.538,0000","-21.580,0000","958,0000"
"13/07/2022","17:43:23","98.805,0000","98.845,0000","98.705,0000","98.705,0000","98.670,0000","16.566,0000","-23.224,0000","-6.658,0000"
"13/07/2022","17:41:24","98.905,0000","98.915,0000","98.805,0000","98.805,0000","98.670,0000","4.194,0000","-7.712,0000","-3.518,0000"
"13/07/2022","17:37:56","98.805,0000","98.905,0000","98.805,0000","98.905,0000","98.670,0000","14.711,0000","-9.713,0000","4.998,0000"
"13/07/2022","17:16:45","98.905,0000","98.965,0000","98.805,0000","98.805,0000","98.670,0000","58.508,0000","-71.608,0000","-13.100,0000"
"13/07/2022","17:12:00","99.005,0000","99.020,0000","98.905,0000","98.905,0000","98.670,0000","15.358,0000","-24.277,0000","-8.919,0000"
"13/07/2022","16:43:55","98.905,0000","99.005,0000","98.850,0000","99.005,0000","98.670,0000","176.353,0000","-160.241,0000","16.112,0000"
"13/07/2022","16:39:01","99.005,0000","99.040,0000","98.905,0000","98.905,0000","98.670,0000","32.381,0000","-38.893,0000","-6.512,0000"
"13/07/2022","16:33:40","98.905,0000","99.005,0000","98.870,0000","99.005,0000","98.670,0000","52.891,0000","-47.474,0000","5.417,0000"
"13/07/2022","16:30:45","99.005,0000","99.040,0000","98.905,0000","98.905,0000","98.670,0000","36.887,0000","-40.957,0000","-4.070,0000"
"13/07/2022","16:25:58","99.105,0000","99.150,0000","99.005,0000","99.005,0000","98.670,0000","50.410,0000","-63.366,0000","-12.956,0000"
"13/07/2022","16:08:54","99.205,0000","99.280,0000","99.105,0000","99.105,0000","98.670,0000","138.174,0000","-138.248,0000","-74,0000"
"13/07/2022","16:01:19","99.305,0000","99.355,0000","99.205,0000","99.205,0000","98.670,0000","63.779,0000","-74.341,0000","-10.562,0000"
"13/07/2022","15:59:36","99.405,0000","99.425,0000","99.305,0000","99.305,0000","98.670,0000","26.625,0000","-32.180,0000","-5.555,0000"
"13/07/2022","15:58:28","99.305,0000","99.405,0000","99.300,0000","99.405,0000","98.670,0000","27.065,0000","-15.090,0000","11.975,0000"
